Domain,sentence,language,label_name,label_ID,Source,annotator_GMUID
Immigration,"And President Obama poisons the well by his lawless executive actions, declining to enforce laws that are on the books and making up others out of whole cloth.",en,Political,13,https://www.cato.org/publications/commentary/what-both-sides-miss-immigration-debate?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0zx0iEcH2VyJMP-O2ms04YYLzbAqv2knhlXPZ4ScS0TswNU3p-TRCQaAr_QEALw_wcB,
Immigration,So you see that becoming a citizen is far easier than getting a green card—which is exactly backwards!,en,"Legality, Constitutionality, Jurisdiction",5,https://www.cato.org/publications/commentary/what-both-sides-miss-immigration-debate?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0zx0iEcH2VyJMP-O2ms04YYLzbAqv2knhlXPZ4ScS0TswNU3p-TRCQaAr_QEALw_wcB,
Immigration,"In the wake of historic flows of illegal aliens over the southern border, Governor Greg Abbott reissued his declaration of invasion on September 20 and deployed more Texas National Guard, Texas Department of Public Safety, and local law enforcement personnel to the Texas border.",en,Policy Prescription and Evaluation,6,https://www.fairus.org/legislation/state-immigration-legislation-policies/border-security/texas-governor-abbott-amplifies,
Immigration,"According to U.S. Customs and Border Protection, in fiscal year 2023 through July, there over nearly 1.2 million encounters in Texas alone. In just the past couple of days, more than 4,000 aliens have crossed into Eagle Pass, Texas, forcing the mayor to declare an emergency. ",en,Security and Defense,8,https://www.fairus.org/legislation/state-immigration-legislation-policies/border-security/texas-governor-abbott-amplifies,
Immigration,"The administration claimed the buoys violated the Rivers and Harbors Act, but a three-judge 5th Circuit panel permitted them to remain while the case is being adjudicated.",en,Policy Prescription and Evaluation,6,https://www.fairus.org/legislation/state-immigration-legislation-policies/border-security/texas-governor-abbott-amplifies,
Immigration,"The researchers found that people who are more exposed to immigration inflows are more likely to rank crime as their biggest concern. They’re more likely to believe that crime is affecting their quality of life, and more likely to believe that they will be a victim of a crime soon.",en,Quality of Life,10,https://www.mcgill.ca/newsroom/channels/news/does-immigration-really-increase-crime-347099,
Immigration,"However, those citizens weren’t any more likely to have been victims of any crime in the previous months. Nor did the number of homicides grow disproportionately in the municipalities where they live, according to the researchers.",en,Other,15,https://www.mcgill.ca/newsroom/channels/news/does-immigration-really-increase-crime-347100,
Immigration,"Voters overwhelmingly say they trust Republicans to do a better job than Democrats dealing with border security, crime, the economy and immigration, a new national NBC News poll finds.",en,Political,13,https://www.nbcnews.com/meet-the-press/first-read/poll-republicans-advantages-immigration-crime-economy-rcna117054,
Immigration,"By some smaller margins, registered voters also say Democrats are better on health care, abortion, the coronavirus and education.",en,Political,13,https://www.nbcnews.com/meet-the-press/first-read/poll-republicans-advantages-immigration-crime-economy-rcna117054,
Immigration,"The numbers illustrate the feelings of an electorate that has grown deeply dissatisfied with President Joe Biden — but also maintains serious reservations about his most likely rival in the 2024 presidential race, former President Donald Trump.",en,Political,13,https://www.nbcnews.com/meet-the-press/first-read/poll-republicans-advantages-immigration-crime-economy-rcna117054,
Immigration,"But independent voters polled agree that Republicans are better at dealing with crime (by 19 points) and with the economy (by 25 points). Independents also agreed that Democrats are better at dealing with abortion (by 20 points), education (by 11 points) and looking out for the middle class (by 10 points), though by smaller margins than they gave Republicans in dealing with crime and the economy.",en,Political,13,https://www.nbcnews.com/meet-the-press/first-read/poll-republicans-advantages-immigration-crime-economy-rcna117054,
Immigration,"But despite the level of heated rhetoric around this issue — especially the xenophobic or racist messages that spew forth from across the political spectrum — there's no hard data suggesting that immigration actually correlates with a rise in crime. In fact, immigration may even be associated with reductions in certain types of crime.",en,Quality of Life,10,https://www.nbcnews.com/meet-the-press/first-read/poll-republicans-advantages-immigration-crime-economy-rcna117054,
Immigration," One piece of legislation enacted in April 2021 ""adopts the language of human rights protections but nonetheless enhances the government's power to expel migrants and restrict their access to protections,"" according to the MPI report.",en,"Legality, Constitutionality, Jurisdiction",5,https://www.nbcnews.com/meet-the-press/first-read/poll-republicans-advantages-immigration-crime-economy-rcna117054,
Immigration,"Our results suggest that while immigration does not increase crime in equilibrium, it does trigger crime-related concerns and behavioral reactions among the population.",en,Health and Safety,9,https://www.nbcnews.com/meet-the-press/first-read/poll-republicans-advantages-immigration-crime-economy-rcna117054,
Immigration,"""Yet, we find no effect of immigration on crime. We analyze all relevant crimes included in the survey — robbery, larceny, burglary, theft, assault and vehicle theft — as well as homicides and observe no significant effect for any of the individual types of crime or for total crime",en,Crime and Punishment,7,https://www.nbcnews.com/meet-the-press/first-read/poll-republicans-advantages-immigration-crime-economy-rcna117054,
Immigration,We find that undocumented immigrants have substantially lower crime rates than native-born citizens and legal immigrants across a range of felony offenses,en,Crime and Punishment,7,https://www.nbcnews.com/meet-the-press/first-read/poll-republicans-advantages-immigration-crime-economy-rcna117054,
Immigration,"Throughout human history there has always been evidence of people migrating from place to place in search of new opportunities and a better life. In more recent times, populations have been able to travel further distances and in significantly greater numbers. ",en,Quality of Life,10,https://studentsforliberty.org/pillars/peace-love-liberty/immigration-reform/?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0y72xhLXaCANkLerlC8vZr01vl6JCA5r1aTgKBbRB6olVevIeleffoaAo4uEALw_wcB,
Immigration,"Immigration can bring a boost to the local economy, help fill any existing skills shortages, and is a source of foreign investment.",en,Economic,1,https://studentsforliberty.org/pillars/peace-love-liberty/immigration-reform/?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0y72xhLXaCANkLerlC8vZr01vl6JCA5r1aTgKBbRB6olVevIeleffoaAo4uEALw_wcB,
Immigration,Resulting restrictions imposed on immigration arguably cause the global economy to lose out on an astronomical scale. ,en,Economic,1,https://studentsforliberty.org/pillars/peace-love-liberty/immigration-reform/?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0y72xhLXaCANkLerlC8vZr01vl6JCA5r1aTgKBbRB6olVevIeleffoaAo4uEALw_wcB,
Immigration,"Morally, it is reprehensible to prevent peaceful individuals from having the opportunity to improve their lives, purely based on their country of birth. Effectively, this traps certain people in locations where they will not be able to escape poverty and reach their full potential.  ",en,Morality,3,https://studentsforliberty.org/pillars/peace-love-liberty/immigration-reform/?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0y72xhLXaCANkLerlC8vZr01vl6JCA5r1aTgKBbRB6olVevIeleffoaAo4uEALw_wcB,
Immigration,"Statistics for the United States (Blau and Mackie, 2016) show that the average Net Present Value (NPV) for immigrants is actually positive and higher than that of native-born citizens. This is true, even for the majority of unskilled workers, meaning that immigration results in a net benefit to the economy.",en,Economic,1,https://studentsforliberty.org/pillars/peace-love-liberty/immigration-reform/?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0y72xhLXaCANkLerlC8vZr01vl6JCA5r1aTgKBbRB6olVevIeleffoaAo4uEALw_wcB,
Immigration,"Furthermore, a relative shortage of workers in certain locations can subsequently result in more opportunities and higher wages for those who decide to remain.",en,Economic,1,https://studentsforliberty.org/pillars/peace-love-liberty/immigration-reform/?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0y72xhLXaCANkLerlC8vZr01vl6JCA5r1aTgKBbRB6olVevIeleffoaAo4uEALw_wcB,
Immigration,"Despite many critics’ concerns over the cultural impact of immigration, it is clear that the overall consequence of interaction and integration of people from different cultures has brought about many benefits and cultural enrichment.",en,Cultural Identity,11,https://studentsforliberty.org/pillars/peace-love-liberty/immigration-reform/?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0y72xhLXaCANkLerlC8vZr01vl6JCA5r1aTgKBbRB6olVevIeleffoaAo4uEALw_wcB,
Immigration,"Restrictions on immigration in the way we know of today were only gradually introduced as a result of increasing xenophobic sentiment against Southern and Eastern Europeans in the 1920s, although there had already been policies discriminating specifically against Chinese immigrants since the 1870s.",en,Public Sentiment,12,https://studentsforliberty.org/pillars/peace-love-liberty/immigration-reform/?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0y72xhLXaCANkLerlC8vZr01vl6JCA5r1aTgKBbRB6olVevIeleffoaAo4uEALw_wcB,
Immigration,"There is usually a strong bias in favor of only accepting highly skilled immigrants, which can be seen in the case of the points-based systems implemented by countries such as Canada, Australia, and New Zealand. Alternatively, governments will require a potential immigrant to have already found employment in the country prior to arrival, typically in a position where a local skill shortage exists.",en,Capacity and Resources,2,https://studentsforliberty.org/pillars/peace-love-liberty/immigration-reform/?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0y72xhLXaCANkLerlC8vZr01vl6JCA5r1aTgKBbRB6olVevIeleffoaAo4uEALw_wcB,
Immigration,The CHIPS and Science Act has set the stage for a boom in U.S. semiconductor production. But a looming question threatens the development of the industry: Are there enough workers with sector-specific skills to support it?,en,Capacity and Resources,2,https://brookings.edu/articles/industrial-policy-will-require-immigration-reform/,
Immigration,"Currently, targeted educational programs are doing much of the heavy lifting to build the semiconductor workforce, but they will not be enough. Immigration reform, in particular, to expand the number of skilled-worker visas, is the only way to ensure that the CHIPS Act will achieve its full promise as a catalyst for U.S. high-tech manufacturing.",en,Capacity and Resources,2,https://brookings.edu/articles/industrial-policy-will-require-immigration-reform/,
Immigration,"The U.S. has been losing market share in semiconductor manufacturing for decades. However, supply chain issues during the pandemic finally brought this trend to the fore, highlighting concerns about U.S. reliance on East Asian semiconductor chip manufacturers.",en,Capacity and Resources,2,https://brookings.edu/articles/industrial-policy-will-require-immigration-reform/,
Immigration,"This has led to a broad effort by the Biden administration to revitalize domestic manufacturing. One result is the bipartisan CHIPS act, which pledges a historic $280 billion toward expanding the domestic semiconductor industry, including $52.7 billion for semiconductor R&D, manufacturing, and workforce development; a $24 billion investment tax credit for semiconductor firms; and $174 billion to support R&D efforts across several U.S. agencies.",en,Policy Prescription and Evaluation,6,https://brookings.edu/articles/industrial-policy-will-require-immigration-reform/,
Immigration,"The good news is that private semiconductor firms have thus far been very responsive to these incentives—as of December 2022, more than 50 new semiconductor projects and $210 billion in private investment had been announced. ",en,Economic,1,https://brookings.edu/articles/industrial-policy-will-require-immigration-reform/,
Immigration,"In other words, widening the semiconductor workforce pipeline will require immigration policy reforms that complement local skills building.",en,Policy Prescription and Evaluation,6,https://brookings.edu/articles/industrial-policy-will-require-immigration-reform/,
Immigration,Economic development policies are often enacted without sufficient workforce development strategies and the CHIPS Act is no exception.,en,Economic,1,https://brookings.edu/articles/industrial-policy-will-require-immigration-reform/,
Immigration,"Britain’s immigration minister argued Tuesday that international refugee rules must be rewritten to reduce the number of people entitled to protection, as the Conservative government seeks international support for its tough stance on unauthorized migration.",en,Policy Prescription and Evaluation,6,https://apnews.com/article/uk-gay-refugees-suella-braverman-migration-asylum-b8bd501707a81732e067b742e20052f1,
Immigration,"Braverman said that the bar for asylum claims had been lowered over the decades since the 1951 United Nations Refugee Convention. She questioned whether “well-intentioned legal conventions and treaties” from decades ago are “fit for our modern age” of jet travel, smartphones and the internet.",en,Policy Prescription and Evaluation,6,https://apnews.com/article/uk-gay-refugees-suella-braverman-migration-asylum-b8bd501707a81732e067b742e20052f1,
Immigration,"In a speech to conservative think-tank the American Enterprise Institute, Braverman called for changes to rules to prevent asylum-seekers traveling through “multiple safe countries … while they pick their preferred destination.” She said such migrants should “cease to be treated as refugees” once they leave the first safe country they come to.",en,Policy Prescription and Evaluation,6,https://apnews.com/article/uk-gay-refugees-suella-braverman-migration-asylum-b8bd501707a81732e067b742e20052f1,
Immigration,"Braverman argued that the arrivals are straining Britain’s public finances and housing supply, and bring “threats to public safety” because of “heightened levels of criminality connected to some small boat arrivals.”",en,Security and Defense,8,https://apnews.com/article/uk-gay-refugees-suella-braverman-migration-asylum-b8bd501707a81732e067b742e20052f1,
Immigration,"Braverman spoke during a working visit to the U.S. capital, where she is scheduled to discuss migration, international crime and security issues with U.S. Secretary of Homeland Security Alejandro Mayorkas and Attorney General Merrick Garland.",en,Political,13,https://apnews.com/article/uk-gay-refugees-suella-braverman-migration-asylum-b8bd501707a81732e067b742e20052f1,
Immigration,Noncitizen immigrants are more likely to be uninsured than citizens because they have more limited access to private coverage due to working in jobs that are less likely to provide health benefits,en,Health and Safety,9,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"they face eligibility restrictions for federally funded coverage options, including Medicaid, the Children’s Health Insurance Program (CHIP), Affordable Care Act (ACA) Marketplace coverage, and Medicare",en,Policy Prescription and Evaluation,6,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"Those who are eligible for coverage also face a range of enrollment barriers including fear, confusion about eligibility rules, and language and literacy challenges.",en,Quality of Life,10,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"At the federal level, legislation has been proposed that would expand eligibility for health coverage for immigrants, though it faces no clear path to passage in Congress.",en,"Legality, Constitutionality, Jurisdiction",5,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"At the state level, there has been continued take up of state options to expand Medicaid and CHIP coverage for lawfully present immigrant",en,Policy Prescription and Evaluation,6,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"Reflecting their higher uninsured rates, noncitizen immigrants, especially those who are likely undocumented, are more likely than citizens to report barriers to accessing health care and skipping or postponing care. ",en,Fairness and Eqality,4,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration," Research shows that having insurance makes a difference in whether and when people access needed care. Those who are uninsured often delay or go without needed care, which can lead to worse health outcomes over the long-term that may ultimately be more complex and expensive to treat. ",en,Health and Safety,9,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"Lawfully present immigrants may qualify for Medicaid and CHIP but are subject to certain eligibility restrictions. In general, lawfully present immigrants must have a “qualified” immigration status to be eligible for Medicaid or CHIP,",en,Fairness and Eqality,4,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"Lawfully present immigrants can purchase coverage through the ACA Marketplaces and, like citizens, may receive tax credits to help pay for premiums and cost sharing that vary on a sliding scale based on income. ",en,Fairness and Eqality,4,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"Although the majority of immigrants are working, noncitizen immigrants, particularly those who are likely undocumented, have high uninsured rates due to more limited access to both public and private coverage.",en,Fairness and Eqality,4,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"Federal legislation has been proposed that would expand immigrant eligibility for health coverage, though there is no clear path to passage in Congress. In the absence of federal action, some states are filling gaps in access to coverage for immigrants.",en,"Legality, Constitutionality, Jurisdiction",5,https://www.kff.org/racial-equity-and-health-policy/fact-sheet/key-facts-on-health-coverage-of-immigrants/,
Immigration,"The ongoing immigration debate in the United States has reached a fever pitch as lawmakers on Capitol Hill introduce new legislation that could bring about significant changes to the country's immigration system. The proposed bill, titled the ""Comprehensive Immigration Reform Act of 2023,"" aims to address a wide range of issues, from border security and pathways to citizenship to temporary worker programs.",en,Policy Prescription and Evaluation,6,https://chat.openai.com/,
Immigration,"The bill, co-authored by Senators Maria Rodriguez (D) and John Anderson (R), has garnered significant attention and controversy from both sides of the aisle. It seeks to strike a balance between border enforcement and providing a pathway to legal status for millions of undocumented immigrants living in the United States.",en,Political,13,https://chat.openai.com/,
Immigration,"One of the key provisions of the bill is an expansion of the Deferred Action for Childhood Arrivals (DACA) program, which would grant a path to citizenship for approximately 1.8 million DREAMers, undocumented immigrants who came to the U.S. as children.",en,Policy Prescription and Evaluation,6,https://chat.openai.com/,
Immigration,"The bill seeks to increase the number of temporary work visas available to foreign workers, especially in industries such as agriculture and technology. ",en,Capacity and Resources,2,https://chat.openai.com/,
Immigration,"As the debate intensifies, it is clear that immigration will remain a prominent and divisive issue in American politics, with millions of lives and the future of the nation hanging in the balance.",en,Public Sentiment,12,https://chat.openai.com/,
Immigration,"In New York City, more than 90,000 migrants or people seeking asylum have sought refuge since spring 2022. The city's Democratic mayor, Eric Adams, has asked for more federal assistance, and in the meantime, has cut back on services for those coming to his city. The Biden administration blames Congressional inaction.",en,Political,13,https://www.npr.org/2023/08/28/1196381815/biden-administration-nyc-spar-over-immigration-policy,
Immigration,A Biden administration policy that has allowed thousands of people from Latin America and the Caribbean to temporarily live and work in the U.S. is headed to court Thursday as a group of Republican-leaning states challenge its legality. ,en,Political,13,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
Immigration,"The humanitarian parole program, announced in January, allows up to 30,000 people from Cuba, Haiti, Nicaragua and Venezuela to be admitted into the U.S. each month “for urgent humanitarian reasons or significant public benefit” on a case-by-case basis, according to the Biden administration.",en,Policy Prescription and Evaluation,6,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
Immigration,"Under the program, migrants are allowed to stay in the U.S. for up to two years and must go through an online application process, have a financial sponsor and undergo background and security checks. ",en,Policy Prescription and Evaluation,6,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
Immigration,"A total of 21 Republican-leaning states have challenged the policy, calling it “unlawful” in an amended complaint in February.",en,"Legality, Constitutionality, Jurisdiction",5,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
Immigration,"He said the man lives with his wife and two children in a coastal community that has been hit hard by tropical storms and hurricanes over the past few years. Combined with massive political unrest in Nicaragua beginning in 2018, the man’s family is at risk and without opportunities, he said. ",en,Morality,3,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
Immigration,"Those events, along with the pandemic, “have really had a tremendous impact on the community that he lives in and on his own economic realities,”",en,Morality,3,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
Immigration,"It would just be such a shame for this program to be ended, as it just seems like a kind of bright light in a much larger broken immigration system",en,Morality,3,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
Immigration,"The humanitarian parole measure is part of the Biden administration’s expansion of legal immigration pathways that temporarily allow people fleeing political and economic instability to come to the U.S., including after Russia invaded Ukraine.",en,Policy Prescription and Evaluation,6,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
Immigration,"The doctor wrote in a declaration to the court that she worries “that if the program is terminated before her mother arrives, the young woman may not be able to receive the life-saving surgery that she needs.”",en,Quality of Life,10,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
Immigration,"The 21 states that are challenging the parole program for people from Cuba, Haiti, Nicaragua and Venezuela argued in their complaint that the policy was unlawful, in part because it exceeds the federal government’s “statutory parole authority” and does not meet the criteria for being used “only on a case-by-case basis for urgent humanitarian reasons or significant public benefit.”",en,"Legality, Constitutionality, Jurisdiction",5,https://www.nbcnews.com/news/us-news/biden-immigration-policy-giving-temporary-legal-status-thousands-faces-rcna101383,
same-sex marriage,"No union is more profound than marriage, for it embodies the highest ideals of love, fidelity, devotion, sacrifice and family. In forming a marital union, two people become something greater than once they were.",en,Quality of Life,10,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"Marriage is a “keystone of our social order,” Justice Kennedy said, adding that the plaintiffs in the case were seeking “equal dignity in the eyes of the law.”",en,Morality,3,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"In a long-sought victory for the gay rights movement, the Supreme Court ruled by a 5-to-4 vote on Friday that the Constitution guarantees a right to same-sex marriage.",en,"Legality, Constitutionality, Jurisdiction",5,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"The decision, which was the culmination of decades of litigation and activism, set off jubilation and tearful embraces across the country, the first same-sex marriages in several states, and resistance — or at least stalling — in others.",en,Quality of Life,10,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"It came against the backdrop of fast-moving changes in public opinion, with polls indicating that most Americans now approve of the unions.",en,Public Sentiment,12,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"The court’s four more liberal justices joined Justice Kennedy’s majority opinion. Each member of the court’s conservative wing filed a separate dissent, in tones ranging from resigned dismay to bitter scorn.",en,Political,13,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"“If you are among the many Americans — of whatever sexual orientation — who favor expanding same-sex marriage, by all means celebrate today’s decision,” Chief Justice Roberts wrote.",en,Political,13,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"Outside the Supreme Court, the police allowed hundreds of people waving rainbow flags and holding signs to advance onto the court plaza as those present for the decision streamed down the steps.",en,Cultural Identity,11,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"In remarks in the Rose Garden, President Obama welcomed the decision, saying it “affirms what millions of Americans already believe in their hearts.”",en,Morality,3,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,Justice Kennedy was the author of all three of the Supreme Court’s previous gay rights landmarks.,en,Political,13,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"The generations that wrote and ratified the Bill of Rights and the Fourteenth Amendment did not presume to know the extent of freedom in all of its dimensions, and so they entrusted to future generations a charter protecting the right of all persons to enjoy liberty as we learn its meaning.”",en,"Legality, Constitutionality, Jurisdiction",5,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"“They have discovered in the Fourteenth Amendment,” Justice Scalia wrote of the majority, “a ‘fundamental right’ overlooked by every person alive at the time of ratification, and almost everyone else in the time since.”",en,"Legality, Constitutionality, Jurisdiction",5,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"Without the recognition, stability and predictability marriage offers,” he wrote, “their children suffer the stigma of knowing their families are somehow lesser",en,Quality of Life,10,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"they also suffer the significant material costs of being raised by unmarried parents, relegated through no fault of their own to a more difficult and uncertain family life. The marriage laws at issue here thus harm and humiliate the children of same-sex couples.",en,Quality of Life,10,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,The court invalidates the marriage laws of more than half the states and orders the transformation of a social institution that has formed the basis of human society for millennia,en,"Legality, Constitutionality, Jurisdiction",5,https://www.nytimes.com/2015/06/27/us/supreme-court-same-sex-marriage.html,
same-sex marriage,"California voters will decide in 2024 whether to enshrine the right to same-sex marriage in the state constitution, a chance for them to permanently remove an inactive ban on same-sex marriage that they approved in 2008.",en,"Legality, Constitutionality, Jurisdiction",5,https://apnews.com/article/california-samesex-marriage-equality-voters-ballot-2552934177cf9bb82a9bfa11eb9f1e38,
